event_name,implemented,trigger_location,required_params,status,notes
view_university,yes,src/layouts/UniversityLayout.astro,university,wired,Fires once per university page load via data-analytics-pageview
view_programme,no,,programme;university,not implemented,"No per-programme view boundary exists yet (courses render inline in a list, not as separately-loaded views); revisit if programme pages become their own routes"
use_filter,no,,filter_type;filter_value,not implemented,Programs page has no interactive filter UI yet (P2)
start_comparison,no,,,not implemented,No comparison-selection UI exists yet (P2)
complete_comparison,no,,,not implemented,No comparison-selection UI exists yet (P2)
click_whatsapp,yes,WhatsAppFloatButton.astro; Header.astro; MobileNav.astro; CtaBanner.astro; UniversityLayout.astro (header CTA + per-course CTA); contact.astro,cta_location;university (where applicable);programme (course-card only),wired,cta_location values: floating_button / header / mobile_nav / cta_banner / university_page / course_card / contact_page
click_call,yes,contact.astro,cta_location,wired,cta_location=contact_page
click_email,yes,contact.astro,cta_location,wired,cta_location=contact_page
submit_lead,yes,src/pages/contact.astro,cta_location,wired,Fires after functions/api/contact.ts returns ok:true
lead_submit_error,yes,src/pages/contact.astro,cta_location;field,wired,field is the failing form field name or 'network'/'unknown'
download_brochure,no,,university;programme,not implemented,brochureUrl fields exist in the content schema but are unpopulated site-wide (see website-build/README.md); wire when brochures are added
exit_to_university,yes,src/layouts/UniversityLayout.astro,university,wired,Fires on the outbound 'Official website' link click
book_counselling,no,,university;programme,not implemented,Downstream funnel step; requires Kuanli/CRM integration to fire from
application_started,no,,university;programme,not implemented,Downstream funnel step; requires Kuanli/CRM integration to fire from
admission_confirmed,no,,university;programme,not implemented,Downstream funnel step; requires Kuanli/CRM integration to fire from
