record_id,awarding_hei,platform_or_brand,exact_programme,mode,academic_session,ugc_deb_source_url,official_programme_url,fee_source_url_or_file,fee_basis,compulsory_fees,discount_assumptions,intake,eligibility,exam_mode,refund_source,last_verified_at,verified_by,status,notes
amity-university-online-01,Amity University Online,Amity University Online,Online BA,Online,unconfirmed,https://deb.ugc.ac.in/Home/HEI_Prog_List,https://www.amityonline.com,internal draft content (website-build/src/content/universities/amity-university-online.md),Standard=101200 | Loan General=109250,,Standard 12% one-time discount; Loan General 5% one-time discount,unconfirmed,10+2 in any stream,unconfirmed,unconfirmed,2026-07-24,background research agent (UGC-DEB + official-source cross-check),stale,"A Hindi Medium / Vernacular general BA is also available at a flat Rs. 90,000 with no one-time discount."
amity-university-online-02,Amity University Online,Amity University Online,Online BBA,Online,unconfirmed,https://deb.ugc.ac.in/Home/HEI_Prog_List,https://www.amityonline.com,internal draft content (website-build/src/content/universities/amity-university-online.md),Standard=175120 | Loan General=189050,,Standard 12% one-time discount; Loan General 5% one-time discount,unconfirmed,10+2 in any stream,unconfirmed,unconfirmed,2026-07-24,background research agent (UGC-DEB + official-source cross-check),stale,"A corporate-partnership BBA-Lenskart variant is also available (Standard plan one-time fee: Rs. 2,42,000)."
amity-university-online-03,Amity University Online,Amity University Online,Online B.Com,Online,unconfirmed,https://deb.ugc.ac.in/Home/HEI_Prog_List,https://www.amityonline.com,internal draft content (website-build/src/content/universities/amity-university-online.md),Standard=101200 | Loan General=109250,,Standard 12% one-time discount; Loan General 5% one-time discount,unconfirmed,10+2 in any stream,unconfirmed,unconfirmed,2026-07-24,background research agent (UGC-DEB + official-source cross-check),stale,"A Vernacular medium variant is also available at a flat Rs. 90,000 with no one-time discount. Strong foundation for CA/CPA exam preparation, per Amity's own materials."
amity-university-online-04,Amity University Online,Amity University Online,Online BCA,Online,unconfirmed,https://deb.ugc.ac.in/Home/HEI_Prog_List,https://www.amityonline.com,internal draft content (website-build/src/content/universities/amity-university-online.md),Standard=154000 | Loan General=166250,,Standard 12% one-time discount; Loan General 5% one-time discount,unconfirmed,10+2 in any stream,unconfirmed,unconfirmed,2026-07-24,background research agent (UGC-DEB + official-source cross-check),stale,
amity-university-online-05,Amity University Online,Amity University Online,Online MBA,Online,unconfirmed,https://deb.ugc.ac.in/Home/HEI_Prog_List,https://www.amityonline.com,internal draft content (website-build/src/content/universities/amity-university-online.md),Standard=207000 | Loan General=213750,,Standard 8% one-time discount; Loan General 5% one-time discount,unconfirmed,Bachelor's degree in any discipline,unconfirmed,unconfirmed,2026-07-24,background research agent (UGC-DEB + official-source cross-check),stale,"A corporate-partnership MBA-Lenskart variant is also available (Standard plan one-time fee: Rs. 2,53,000)."
amity-university-online-06,Amity University Online,Amity University Online,Online MCA,Online,unconfirmed,https://deb.ugc.ac.in/Home/HEI_Prog_List,https://www.amityonline.com,internal draft content (website-build/src/content/universities/amity-university-online.md),Standard=183080 | Loan General=189050,,Standard 8% one-time discount; Loan General 5% one-time discount,unconfirmed,Bachelor's degree with Mathematics/Computer Science background,unconfirmed,unconfirmed,2026-07-24,background research agent (UGC-DEB + official-source cross-check),stale,
amity-university-online-07,Amity University Online,Amity University Online,Online M.Com,Online,unconfirmed,https://deb.ugc.ac.in/Home/HEI_Prog_List,https://www.amityonline.com,internal draft content (website-build/src/content/universities/amity-university-online.md),Standard=138000 | Loan General=142500,,Standard 8% one-time discount; Loan General 5% one-time discount,unconfirmed,Bachelor's degree in Commerce or related field,unconfirmed,unconfirmed,2026-07-24,background research agent (UGC-DEB + official-source cross-check),stale,
amity-university-online-08,Amity University Online,Amity University Online,Online MA,Online,unconfirmed,https://deb.ugc.ac.in/Home/HEI_Prog_List,https://www.amityonline.com,internal draft content (website-build/src/content/universities/amity-university-online.md),Standard=174800 | Loan General=180500,,Standard 8% one-time discount; Loan General 5% one-time discount,unconfirmed,Bachelor's degree in any discipline,unconfirmed,unconfirmed,2026-07-24,background research agent (UGC-DEB + official-source cross-check),stale,Delivered as MA in Journalism and Mass Communication by default; Public Policy & Governance is a lower-cost alternative specialization.
amity-university-online-09,Amity University Online,Amity University Online,Online M.Sc Data Science,Online,unconfirmed,https://deb.ugc.ac.in/Home/HEI_Prog_List,https://www.amityonline.com,internal draft content (website-build/src/content/universities/amity-university-online.md),Standard=253000 | Loan General=261250,,Standard 8% one-time discount; Loan General 5% one-time discount,unconfirmed,Bachelor's degree with a quantitative background,unconfirmed,unconfirmed,2026-07-24,background research agent (UGC-DEB + official-source cross-check),stale,Recommended study load: 12-15 hours/week.
amity-university-online-10,Amity University Online,Amity University Online,BBA + MBA Combo Degree,Online,unconfirmed,https://deb.ugc.ac.in/Home/HEI_Prog_List,https://www.amityonline.com,internal draft content (website-build/src/content/universities/amity-university-online.md),Standard=370570 | Loan General=382660,,Standard 8% one-time discount; Loan General 5% one-time discount,unconfirmed,10+2 in any stream (for combined UG+PG entry),unconfirmed,unconfirmed,2026-07-24,background research agent (UGC-DEB + official-source cross-check),stale,Combo degrees preserve the combined program's tuition rate and remove the need to reapply for the postgraduate half later.
amity-university-online-11,Amity University Online,Amity University Online,B.Com + MBA Combo Degree,Online,unconfirmed,https://deb.ugc.ac.in/Home/HEI_Prog_List,https://www.amityonline.com,internal draft content (website-build/src/content/universities/amity-university-online.md),Standard=297160 | Loan General=306850,,Standard 8% one-time discount; Loan General 5% one-time discount,unconfirmed,10+2 in any stream (for combined UG+PG entry),unconfirmed,unconfirmed,2026-07-24,background research agent (UGC-DEB + official-source cross-check),stale,
amity-university-online-12,Amity University Online,Amity University Online,BCA + MCA Combo Degree,Online,unconfirmed,https://deb.ugc.ac.in/Home/HEI_Prog_List,https://www.amityonline.com,internal draft content (website-build/src/content/universities/amity-university-online.md),Standard=326870 | Loan General=337530,,Standard 8% one-time discount; Loan General 5% one-time discount,unconfirmed,10+2 in any stream (for combined UG+PG entry),unconfirmed,unconfirmed,2026-07-24,background research agent (UGC-DEB + official-source cross-check),stale,
chandigarh-university-online-01,Chandigarh University Online,Chandigarh University Online,Online MBA,Online,unconfirmed,https://deb.ugc.ac.in/Home/HEI_Prog_List,https://www.onlinecu.in,internal draft content (website-build/src/content/universities/chandigarh-university-online.md),lumpsum=160000,,,unconfirmed,Bachelor's degree in any discipline,unconfirmed,unconfirmed,2026-07-24,background research agent (UGC-DEB + official-source cross-check),stale,
chandigarh-university-online-02,Chandigarh University Online,Chandigarh University Online,Online MCA,Online,unconfirmed,https://deb.ugc.ac.in/Home/HEI_Prog_List,https://www.onlinecu.in,internal draft content (website-build/src/content/universities/chandigarh-university-online.md),lumpsum=140000,,,unconfirmed,Bachelor's degree with Mathematics/Computer Science background,unconfirmed,unconfirmed,2026-07-24,background research agent (UGC-DEB + official-source cross-check),stale,Not yet confirmed in the UGC-DEB documents we could access — ask us to confirm current entitlement.
chandigarh-university-online-03,Chandigarh University Online,Chandigarh University Online,Online M.Com,Online,unconfirmed,https://deb.ugc.ac.in/Home/HEI_Prog_List,https://www.onlinecu.in,internal draft content (website-build/src/content/universities/chandigarh-university-online.md),lumpsum=80000,,,unconfirmed,Bachelor's degree in Commerce or related field,unconfirmed,unconfirmed,2026-07-24,background research agent (UGC-DEB + official-source cross-check),stale,
chandigarh-university-online-04,Chandigarh University Online,Chandigarh University Online,Online MA,Online,unconfirmed,https://deb.ugc.ac.in/Home/HEI_Prog_List,https://www.onlinecu.in,internal draft content (website-build/src/content/universities/chandigarh-university-online.md),lumpsum=68000,,,unconfirmed,Bachelor's degree in any discipline,unconfirmed,unconfirmed,2026-07-24,background research agent (UGC-DEB + official-source cross-check),stale,"UGC-DEB entitles specific MA specializations (Journalism & Mass Comm, Liberal Arts, Economics, English) rather than a generic MA — confirm your exact specialization."
chandigarh-university-online-05,Chandigarh University Online,Chandigarh University Online,Online BBA,Online,unconfirmed,https://deb.ugc.ac.in/Home/HEI_Prog_List,https://www.onlinecu.in,internal draft content (website-build/src/content/universities/chandigarh-university-online.md),lumpsum=135000,,,unconfirmed,10+2 in any stream,unconfirmed,unconfirmed,2026-07-24,background research agent (UGC-DEB + official-source cross-check),stale,
chandigarh-university-online-06,Chandigarh University Online,Chandigarh University Online,Online BCA,Online,unconfirmed,https://deb.ugc.ac.in/Home/HEI_Prog_List,https://www.onlinecu.in,internal draft content (website-build/src/content/universities/chandigarh-university-online.md),lumpsum=135000,,,unconfirmed,10+2 in any stream,unconfirmed,unconfirmed,2026-07-24,background research agent (UGC-DEB + official-source cross-check),stale,
chandigarh-university-online-07,Chandigarh University Online,Chandigarh University Online,Online B.Com,Online,unconfirmed,https://deb.ugc.ac.in/Home/HEI_Prog_List,https://www.onlinecu.in,internal draft content (website-build/src/content/universities/chandigarh-university-online.md),lumpsum=99000,,,unconfirmed,10+2 in any stream,unconfirmed,unconfirmed,2026-07-24,background research agent (UGC-DEB + official-source cross-check),stale,Not yet confirmed in the UGC-DEB documents we could access — ask us to confirm current entitlement.
chandigarh-university-online-08,Chandigarh University Online,Chandigarh University Online,Online BA,Online,unconfirmed,https://deb.ugc.ac.in/Home/HEI_Prog_List,https://www.onlinecu.in,internal draft content (website-build/src/content/universities/chandigarh-university-online.md),lumpsum=84000,,,unconfirmed,10+2 in any stream,unconfirmed,unconfirmed,2026-07-24,background research agent (UGC-DEB + official-source cross-check),stale,"UGC-DEB entitles this as BA (Journalism & Mass Communication) specifically, not a generic BA — confirm your exact specialization."
chitkara-university-online-01,Chitkara University Online,Chitkara University Online,Online MBA,Online,unconfirmed,https://deb.ugc.ac.in/Home/HEI_Prog_List,https://www.onlinechitkarau.com,internal draft content (website-build/src/content/universities/chitkara-university-online.md),lumpsum=170000,,,unconfirmed,Bachelor's degree in any discipline,unconfirmed,unconfirmed,,,unverified,
chitkara-university-online-02,Chitkara University Online,Chitkara University Online,Online BBA,Online,unconfirmed,https://deb.ugc.ac.in/Home/HEI_Prog_List,https://www.onlinechitkarau.com,internal draft content (website-build/src/content/universities/chitkara-university-online.md),lumpsum=138000,,,unconfirmed,10+2 in any stream,unconfirmed,unconfirmed,,,unverified,
