primary_intent_theme,target_url,page_type,search_intent,est_monthly_volume,keyword_difficulty,status,notes
brand / homepage,https://education.skeure.com/,homepage,navigational/brand,pending-openseo-data,pending-openseo-data,live-drift,"Live build predates the remediation pass — see decisions/log.md 2026-07-25"
all partner universities / compare online universities,https://education.skeure.com/universities/,listing,commercial investigation,pending-openseo-data,pending-openseo-data,published,One listing page for all universities — do not create competing "list of online universities" pages elsewhere on-site
Amity University Online (fees/programmes/recognition),https://education.skeure.com/universities/amity-university-online/,university profile,commercial investigation,pending-openseo-data,pending-openseo-data,published-stale-evidence,evidenceStatus stale per programme-ledger.csv
Chandigarh University Online (fees/programmes/recognition),https://education.skeure.com/universities/chandigarh-university-online/,university profile,commercial investigation,pending-openseo-data,pending-openseo-data,published-stale-evidence,Some programmes flagged unconfirmed in-page
Chitkara University Online (fees/programmes/recognition),https://education.skeure.com/universities/chitkara-university-online/,university profile,commercial investigation,pending-openseo-data,pending-openseo-data,published-stale-evidence,Trimmed to 2 DEB-confirmed programmes (MBA/BBA)
Desh Bhagat University (fees/programmes/recognition),https://education.skeure.com/universities/desh-bhagat-university/,university profile,commercial investigation,pending-openseo-data,pending-openseo-data,noindex,Unpublished pending manual UGC-DEB re-check — do not target keywords here until republished
GLA University Online (fees/programmes/recognition),https://education.skeure.com/universities/gla-university-online/,university profile,commercial investigation,pending-openseo-data,pending-openseo-data,published-stale-evidence,Trimmed to 5 official-site-confirmed programmes
Guru Kashi University (fees/programmes/recognition),https://education.skeure.com/universities/guru-kashi-university/,university profile,commercial investigation,pending-openseo-data,pending-openseo-data,published-stale-evidence,DEB online/ODL status unconfirmed
Jagat Guru Nanak Dev PSOU (fees/programmes/recognition),https://education.skeure.com/universities/jagat-guru-nanak-dev-psou/,university profile,commercial investigation,pending-openseo-data,pending-openseo-data,published-stale-evidence,Mode corrected to Distance (ODL); 4 unconfirmed programmes removed
Lovely Professional University (fees/programmes/recognition),https://education.skeure.com/universities/lovely-professional-university/,university profile,commercial investigation,pending-openseo-data,pending-openseo-data,published-stale-evidence,Flagship Online MBA unconfirmed by automated DEB scan — needs manual re-check before treating as settled
Mangalayatan University Online (fees/programmes/recognition),https://education.skeure.com/universities/mangalayatan-university-online/,university profile,commercial investigation,pending-openseo-data,pending-openseo-data,published-stale-evidence,DEB status unconfirmed; NAAC grade corrected
MMU Mullana Online (fees/programmes/recognition),https://education.skeure.com/universities/mmu-university-online/,university profile,commercial investigation,pending-openseo-data,pending-openseo-data,published-stale-evidence,Trimmed to 3 DEB-confirmed programmes
Online Manipal University (fees/programmes/recognition),https://education.skeure.com/universities/online-manipal-university/,university profile,commercial investigation,pending-openseo-data,pending-openseo-data,noindex,"Unpublished — conflates 3 distinct HEIs (MAHE/MUJ/SMU), needs per-entity rebuild before republishing or targeting keywords"
Punjabi University Online & Distance (fees/programmes/recognition),https://education.skeure.com/universities/punjabi-university-online-distance/,university profile,commercial investigation,pending-openseo-data,pending-openseo-data,published-stale-evidence,Mode corrected to Distance (ODL); MCA renamed to M.Sc (Information Technology)
compare online degree programs / fees,https://education.skeure.com/programs/,comparison,commercial investigation,pending-openseo-data,pending-openseo-data,published,"Single comparison page today — master plan flags this as not yet a usable rankable IA; degree-hub pages (MBA/MCA/BBA/BCA/B.Com/BA) are P2, blocked on keyword validation"
education financing / loans for online degree,https://education.skeure.com/financing/,commercial,commercial investigation,pending-openseo-data,pending-openseo-data,published-neutralized,"Numeric financing claims (0% p.a., lender comparison table) removed pending named regulated lender + APR/KFS + legal review — do not target rate-specific keywords until restored"
about Skeure / who we are / trust,https://education.skeure.com/about/,trust,informational,pending-openseo-data,pending-openseo-data,published,Contains commercial-disclosure and verification-methodology section
blog index,https://education.skeure.com/blog/,blog listing,informational,pending-openseo-data,pending-openseo-data,published,Single post currently; content/strategy.md covers the 12-week calendar (blocked on OpenSEO)
choosing the right online degree (guide),https://education.skeure.com/blog/choosing-the-right-online-degree/,article,informational,pending-openseo-data,pending-openseo-data,published,First of the planned trust-guide content per master plan IA
FAQ,https://education.skeure.com/faq/,faq,informational,pending-openseo-data,pending-openseo-data,published,FAQPage schema present only where real FAQ content exists
contact / book counselling,https://education.skeure.com/contact/,conversion,transactional,pending-openseo-data,pending-openseo-data,published-form-unbound,Real Pages Function replacing mailto:; D1 not yet provisioned (see decisions/log.md)
privacy policy,https://education.skeure.com/privacy-policy/,legal,navigational,pending-openseo-data,pending-openseo-data,noindex,"Draft, pending legal review — intentionally not indexed"
terms,https://education.skeure.com/terms/,legal,navigational,pending-openseo-data,pending-openseo-data,noindex,"Draft, pending legal review — intentionally not indexed"
