"Ad set name","Ad ID",Age,Gender,"Delivery status","Delivery level",Reach,Impressions,Frequency,"Attribution setting","Result type",Results,"Amount spent (INR)","Cost per result",Starts,Ends,"Link clicks","CPC (cost per link click)","CPM (cost per 1,000 impressions)","CTR (all)","Messaging conversations replied","Messaging conversations started","Unique CTR (all)","Cost per lead",Leads,"Leads conversion value","Reporting starts","Reporting ends"
,,,,,,4623414,14050258,3.03893573,,mixed,,404500.14,,,,54641,7.40286854,28.78951689,0.50884475,5,4716,1.19349035,,,,2023-07-20,2026-08-19
"Ad set 1",6976611089797,25-34,male,active,ad,223488,441001,1.97326478,"7-day click or 1-day view","Messaging conversations started",156,13643.8,87.46025641,2026-07-01,Ongoing,1291,10.56839659,30.93825184,0.36258421,,156,,,,,2023-07-20,2026-08-19
"Ad set 1",6976611089797,25-34,female,active,ad,106496,204402,1.91933969,"7-day click or 1-day view","Messaging conversations started",65,7850.71,120.78015385,2026-07-01,Ongoing,602,13.04104651,38.40818583,0.38111173,,65,,,,,2023-07-20,2026-08-19
"Ads - Punjab",6911093708597,18-24,male,not_delivering,ad,156928,391619,2.49553298,"7-day click or 1-day view","Messaging conversations started",126,7200.74,57.14873016,2026-04-27,Ongoing,1580,4.55743038,18.38710584,0.47571747,,126,,,,,2023-07-20,2026-08-19
"Ad set 1",6976611089797,18-24,male,active,ad,163456,343736,2.10292678,"7-day click or 1-day view","Messaging conversations started",75,7188.52,95.84693333,2026-07-01,Ongoing,1061,6.77523091,20.91290991,0.36306933,,75,,,,,2023-07-20,2026-08-19
"Ads - Punjab",6911093708597,25-34,male,not_delivering,ad,132224,292217,2.21001482,"7-day click or 1-day view","Messaging conversations started",134,7167.99,53.49246269,2026-04-27,Ongoing,1138,6.29876098,24.52968171,0.46335429,,134,,,,,2023-07-20,2026-08-19
SET1,6715762376997,18-24,female,archived,ad,173952,442151,2.54179889,"7-day click or 1-day view","Messaging conversations started",109,6974.19,63.9833945,2025-05-13,Ongoing,673,10.36283804,15.77332178,0.27230516,,109,,,,,2023-07-20,2026-08-19
SET1,6715762376997,18-24,male,archived,ad,180224,392072,2.17547053,"7-day click or 1-day view","Messaging conversations started",97,6680.98,68.87608247,2025-05-13,Ongoing,673,9.92716196,17.0401865,0.2823461,,97,,,,,2023-07-20,2026-08-19
"Ad set 1",6990852904797,25-34,male,active,ad,230656,335800,1.45584767,"7-day click or 1-day view","Messaging conversations started",166,6472.78,38.9926506,2026-07-01,Ongoing,3342,1.93679832,19.27569982,1.11584276,,166,,,,,2023-07-20,2026-08-19
"ad set 1",6861114057597,25-34,male,not_delivering,ad,90880,175165,1.92743178,"7-day click or 1-day view","Messaging conversations started",46,6408.33,139.31152174,2026-01-31,Ongoing,571,11.22299475,36.58453458,0.43045129,,46,,,,,2023-07-20,2026-08-19
