"Campaign name",Objective,"Delivery status","Delivery level",Reach,Impressions,Frequency,"Attribution setting","Result type",Results,"Amount spent (INR)","Cost per result",Starts,Ends,"Link clicks","CPC (cost per link click)","CPM (cost per 1,000 impressions)","CTR (all)","Messaging conversations started","Cost per event response","Cost per messaging subscription","Cost per messaging conversation started","Cost per new messaging contact",Leads,"Cost per lead","Reporting starts","Reporting ends"
,,,,4623415,14050253,3.03893399,,mixed,,404499.95,,,,54640,7.40300055,28.78951361,0.50884493,4716,,,85.77182994,108.91221055,,,2023-07-20,2026-08-19
"FB Ads - 01/07/2026",OUTCOME_ENGAGEMENT,active,campaign,2445894,4137856,1.69175606,"7-day click or 1-day view","Messaging conversations started",1621,79134.69,48.81843924,,,24880,3.18065474,19.12456354,0.69956519,1621,,,48.81843924,80.09584008,,,2023-07-20,2026-08-19
"LPU Punjab - 13/05",OUTCOME_ENGAGEMENT,inactive,campaign,830354,2087563,2.51406388,"7-day click or 1-day view","Messaging conversations started",570,66535.96,116.72975439,,,4095,16.24809768,31.87255187,0.33570244,570,,,116.72975439,125.776862,,,2023-07-20,2026-08-19
"FB Ads - New Session - 27/04/2026",OUTCOME_ENGAGEMENT,inactive,campaign,692472,1849356,2.67065816,"7-day click or 1-day view","Messaging conversations started",660,46887.77,71.04207576,,,6915,6.78058858,25.35356632,0.45951131,660,,,71.04207576,71.69383792,,,2023-07-20,2026-08-19
"Feb Ads - 31st Jan",OUTCOME_ENGAGEMENT,inactive,campaign,622296,1063444,1.7089038,"7-day click or 1-day view","Messaging conversations started",305,33201.74,108.85816393,,,3769,8.80916423,31.22095757,0.51173358,305,,,108.85816393,140.68533898,,,2023-07-20,2026-08-19
"FB Ads - 14/06/2026",OUTCOME_ENGAGEMENT,inactive,campaign,431012,818869,1.89987518,"7-day click or 1-day view","Messaging conversations started",190,23671.3,124.58578947,,,2541,9.31574183,28.90730996,0.39542344,190,,,124.58578947,125.24497354,,,2023-07-20,2026-08-19
"LPU - Sept",OUTCOME_ENGAGEMENT,inactive,campaign,258943,466249,1.80058546,"7-day click or 1-day view","Messaging conversations started",125,18477.25,147.818,,,985,18.75862944,39.62957561,0.3208586,125,,,147.818,157.92521368,,,2023-07-20,2026-08-19
"LPU Online – 20/25",OUTCOME_ENGAGEMENT,inactive,campaign,111702,237246,2.123919,"7-day click or 1-day view","Messaging conversations started",96,12412.42,129.29604167,,,621,19.98779388,52.31877461,0.42740447,96,,,129.29604167,133.46688172,,,2023-07-20,2026-08-19
"Fb Ads -SK - 06/08/2026",OUTCOME_ENGAGEMENT,inactive,campaign,238140,408199,1.71411355,"7-day click or 1-day view","Messaging conversations started",121,11789.24,97.43173554,,,1764,6.68324263,28.88110946,0.48040294,121,,,97.43173554,97.43173554,,,2023-07-20,2026-08-19
"SK-LPU-MAY 2025 – 1",OUTCOME_ENGAGEMENT,inactive,campaign,165071,319486,1.93544596,"7-day click or 1-day view","Messaging conversations started",51,11476.88,225.03686275,,,678,16.92755162,35.92295124,0.32145384,51,,,225.03686275,225.03686275,,,2023-07-20,2026-08-19
