"Campaign name","Campaign ID",Placement,Platform,"Delivery status","Delivery level",Reach,Impressions,Frequency,"Attribution setting","Result type",Results,"Amount spent (INR)","Cost per result",Starts,Ends,"Link clicks","CPC (cost per link click)","CPM (cost per 1,000 impressions)","CTR (all)","Messaging conversations replied","Messaging conversations started","Unique CTR (all)","Cost per lead",Leads,"Leads conversion value","Ad delivery","Ad set delivery","Campaign delivery","Result rate","Cost per messaging conversation started","Reporting starts","Reporting ends"
,,,,,,4623414,14050288,3.03894222,,,,404501.42,,,,54645,7.40235008,28.78954652,0.50887925,5,4716,1.19349035,,,,,,,,85.77214165,2023-07-20,2026-08-19
"FB Ads - 01/07/2026",6976611088797,"Instagram Reels",instagram,active,campaign,668678,1510010,2.258202,"7-day click or 1-day view","Messaging conversations started",367,30833.3555744,84.01459285,,,6935,4.44604983,20.41930555,0.49589076,,367,,,,,,,active,0.02430447,84.01459285,2023-07-20,2026-08-19
"FB Ads - 01/07/2026",6976611088797,Feed,instagram,active,campaign,544773,906369,1.66375536,"7-day click or 1-day view","Messaging conversations started",406,30442.41918064,74.98132803,,,6164,4.93874419,33.58722461,0.78367641,,406,,,,,,,active,0.04479412,74.98132803,2023-07-20,2026-08-19
"LPU Punjab - 13/05",6715753772997,"Instagram Reels",instagram,inactive,campaign,539184,1240515,2.30072665,"7-day click or 1-day view","Messaging conversations started",287,26098.58437467,90.93583406,,,1370,19.05006159,21.0385077,0.23087186,,287,,,,,,,inactive,0.02313555,90.93583406,2023-07-20,2026-08-19
"FB Ads - New Session - 27/04/2026",6910460698397,"Instagram Reels",instagram,inactive,campaign,450160,1096282,2.43531633,"7-day click or 1-day view","Messaging conversations started",390,23365.05787483,59.91040481,,,4520,5.16926059,21.31299964,0.47150277,,390,,,,,,,inactive,0.03557479,59.91040481,2023-07-20,2026-08-19
"FB Ads - New Session - 27/04/2026",6910460698397,Feed,instagram,inactive,campaign,267383,506072,1.89268577,"7-day click or 1-day view","Messaging conversations started",165,15320.36126544,92.85067434,,,1259,12.16867456,30.27308617,0.34224379,,165,,,,,,,inactive,0.03260406,92.85067434,2023-07-20,2026-08-19
"LPU Punjab - 13/05",6715753772997,Feed,instagram,inactive,campaign,178917,287608,1.60749398,"7-day click or 1-day view","Messaging conversations started",104,14462.75241501,139.06492707,,,1030,14.0415072,50.28633562,0.49303218,,104,,,,,,,inactive,0.03616033,139.06492707,2023-07-20,2026-08-19
"Feb Ads - 31st Jan",6861084796197,Feed,instagram,inactive,campaign,162561,258984,1.59314965,"7-day click or 1-day view","Messaging conversations started",60,12868.45713087,214.47428551,,,925,13.91184555,49.68823221,0.43245915,,60,,,,,,,inactive,0.02316745,214.47428551,2023-07-20,2026-08-19
"FB Ads - 14/06/2026",6959678385397,"Instagram Reels",instagram,inactive,campaign,290044,544398,1.8769497,"7-day click or 1-day view","Messaging conversations started",105,12258.44089199,116.74705611,,,1622,7.55760844,22.51742455,0.35892858,,105,,,,,,,inactive,0.01928736,116.74705611,2023-07-20,2026-08-19
"LPU Punjab - 13/05",6715753772997,"Instagram Stories",instagram,inactive,campaign,195043,323145,1.6567885,"7-day click or 1-day view","Messaging conversations started",108,10565.6445724,97.83004234,,,916,11.53454648,32.696296,0.3580436,,108,,,,,,,inactive,0.03342153,97.83004234,2023-07-20,2026-08-19
"LPU Punjab - 13/05",6715753772997,Feed,facebook,inactive,campaign,76405,130418,1.70693017,"7-day click or 1-day view","Messaging conversations started",40,10164.48552768,254.11213819,,,516,19.69861536,77.93775037,0.88561395,,40,,,,,,,inactive,0.03067061,254.11213819,2023-07-20,2026-08-19
"Feb Ads - 31st Jan",6861084796197,"Instagram Reels",instagram,inactive,campaign,222594,382411,1.71797533,"7-day click or 1-day view","Messaging conversations started",70,8081.68703881,115.45267198,,,1679,4.81339311,21.13351091,0.49397115,,70,,,,,,,inactive,0.01830491,115.45267198,2023-07-20,2026-08-19
"FB Ads - 14/06/2026",6959678385397,Feed,instagram,inactive,campaign,116606,162669,1.39503113,"7-day click or 1-day view","Messaging conversations started",51,6943.23253672,136.14181445,,,406,17.10155797,42.68319432,0.33319194,,51,,,,,,,inactive,0.03135201,136.14181445,2023-07-20,2026-08-19
"LPU - Sept",6804632076597,"Instagram Reels",instagram,inactive,campaign,137272,228473,1.66438167,"7-day click or 1-day view","Messaging conversations started",54,6673.57897651,123.58479586,,,178,37.49201672,29.20948636,0.16238243,,54,,,,,,,inactive,0.02363518,123.58479586,2023-07-20,2026-08-19
